INSTNM,STABBR,UGDS,COSTT4_A,C150_4
Massachusetts College of Art and Design,MA,1753,30956,0.6604
Massachusetts Institute of Technology,MA,4638,77020,0.9494
Massachusetts Maritime Academy,MA,1323,33717,0.792
Merrimack College,MA,4065,65121,0.6813
Montserrat College of Art,MA,291,54469,0.6154
Mount Holyoke College,MA,2183,75051,0.8257
The New England Conservatory of Music,MA,363,75230,0.8099
Nichols College,MA,1164,54138,0.5817
Massachusetts College of Liberal Arts,MA,760,25160,0.5569
Northeastern University,MA,16172,78153,0.9124
College of Our Lady of the Elms,MA,915,49975,0.7485
Regis College,MA,1095,61392,0.6695
Salem State University,MA,4592,27335,0.5536
Simmons University,MA,1786,60828,0.7445
Smith College,MA,2515,78438,0.8853
Springfield College,MA,2002,56240,0.7301
University of Massachusetts-Dartmouth,MA,5331,29342,0.5458
Stonehill College,MA,2466,65513,0.7907
Suffolk University,MA,4325,59927,0.6036
Tufts University,MA,6747,81614,0.9371
Wellesley College,MA,2353,81090,0.9017
Wentworth Institute of Technology,MA,3557,55835,0.6876
Western New England University,MA,2402,54933,0.6745
Westfield State University,MA,3693,24963,0.5981
Wheaton College (Massachusetts),MA,1653,74460,0.7973
Williams College,MA,2138,78086,0.9511
Worcester Polytechnic Institute,MA,5146,73842,0.8893
Worcester State University,MA,4025,20795,0.5885
Adrian College,MI,1688,56391,0.5061
Albion College,MI,1445,66805,0.592
Alma College,MI,1222,58657,0.6219
Andrews University,MI,1249,42774,0.7079
Aquinas College,MI,1107,47228,0.6115
Baker College,MI,3230,22902,0.2007
Calvin University,MI,2833,52094,0.7696
Central Michigan University,MI,10297,26077,0.6172
Cleary University,MI,716,37464,0.6364
Concordia University Ann Arbor,MI,843,47701,0.5176
