INSTNM,STABBR,UGDS,COSTT4_A,C150_4,ACCREDAGENCY,SCHTYPE
University of Puerto Rico-Rio Piedras,PR,8572,15118,0.5026,Middle States Commission on Higher Education,1
Universidad Ana G. Mendez-Carolina Campus,PR,4468,14113,0.3426,Middle States Commission on Higher Education,2
Universidad del Sagrado Corazon,PR,4442,19728,0.5207,Middle States Commission on Higher Education,2
Universidad Politecnica de Puerto Rico,PR,3594,23368,0.2808,Middle States Commission on Higher Education,2
Universidad Ana G. Mendez-Gurabo Campus,PR,7868,14224,0.314,Middle States Commission on Higher Education,2
University of the Virgin Islands,VI,1518,17771,0.2823,Middle States Commission on Higher Education,1
Stanford University,CA,7554,87833,0.9192,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Purdue University-Main Campus,IN,44503,24591,0.831,Higher Learning Commission,1
Parker University,TX,607,42167,0.7407,Southern Association of Colleges and Schools Commission on Colleges,2
St. John's College,NM,368,55824,0.5493,Higher Learning Commission,2
Mid-America Christian University,OK,1666,31313,0.4423,Higher Learning Commission,2
University of Massachusetts Global,CA,4491,35325,0.4286,Western Association of Schools and Colleges Senior Colleges and University Commission,2
New College of Florida,FL,843,24449,0.6667,Southern Association of Colleges and Schools Commission on Colleges,1
California State University-San Marcos,CA,14877,21649,0.5456,Western Association of Schools and Colleges Senior Colleges and University Commission,1
Beacon College,FL,506,70775,0.6023,Southern Association of Colleges and Schools Commission on Colleges,2
Everglades University,FL,2789,38913,0.6136,Southern Association of Colleges and Schools Commission on Colleges,2
Soka University of America,CA,484,55064,0.9182,Western Association of Schools and Colleges Senior Colleges and University Commission,2
California State University-Monterey Bay,CA,6819,26987,0.5909,Western Association of Schools and Colleges Senior Colleges and University Commission,1
Capella University,MN,18364,22820,0.2,Higher Learning Commission,3
Eastern International College-Jersey City,NJ,495,26182,0.3412,Middle States Commission on Higher Education,3
San Juan Bautista School of Medicine,PR,94,12341,0.6923,Middle States Commission on Higher Education,2
American University of Health Sciences,CA,351,NA,0.5,Western Association of Schools and Colleges Senior Colleges and University Commission,3
Florida Gulf Coast University,FL,13874,20807,0.574,Southern Association of Colleges and Schools Commission on Colleges,1
Pillar College,NJ,498,38047,0.3846,Middle States Commission on Higher Education,2
California State University-Channel Islands,CA,5013,23561,0.5132,Western Association of Schools and Colleges Senior Colleges and University Commission,1
Franklin W Olin College of Engineering,MA,377,86474,0.9639,New England Commission on Higher Education,2
West Coast University-Texas,TX,2673,55938,0.3125,Western Association of Schools and Colleges Senior Colleges and University Commission,3
American InterContinental University System,AZ,7111,22256,0.0851,Higher Learning Commission,3
University of California-Merced,CA,8372,39665,0.6872,Western Association of Schools and Colleges Senior Colleges and University Commission,1
Ave Maria University,FL,1298,46129,0.5394,Southern Association of Colleges and Schools Commission on Colleges,2
Harrisburg University of Science and Technology,PA,615,35893,0.3387,Middle States Commission on Higher Education,2
Georgia Gwinnett College,GA,11344,22547,0.2147,Southern Association of Colleges and Schools Commission on Colleges,1
SUM Bible College and Theological Seminary,CA,198,24956,0.8481,Western Association of Schools and Colleges Senior Colleges and University Commission,2
American Public University System,WV,40074,18768,0.5716,Higher Learning Commission,3
University of the West,CA,32,21278,0.375,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Columbia Southern University,AL,12176,18226,0.3328,Southern Association of Colleges and Schools Commission on Colleges,3
Chamberlain University-Illinois,IL,14027,40826,0.4167,Higher Learning Commission,3
Providence Christian College,CA,168,53447,0.2,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Touro University Worldwide,CA,454,29016,0.2857,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Texas A&M University-San Antonio,TX,6599,21655,0.4017,Southern Association of Colleges and Schools Commission on Colleges,1
New York Film Academy,CA,849,62210,0.677,Western Association of Schools and Colleges Senior Colleges and University Commission,3
John Paul the Great Catholic University,CA,286,52367,0.6386,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Los Angeles Pacific University,CA,1483,29884,0.2105,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Catholic International University,WV,116,21546,1,Higher Learning Commission,2
Criswell College,TX,132,27748,0.5,Southern Association of Colleges and Schools Commission on Colleges,2
Augusta University,GA,5613,23524,0.4881,Southern Association of Colleges and Schools Commission on Colleges,1
Middle Georgia State University,GA,6574,19617,0.2533,Southern Association of Colleges and Schools Commission on Colleges,1
University of North Georgia,GA,16146,18177,0.3729,Southern Association of Colleges and Schools Commission on Colleges,1
Florida Polytechnic University,FL,1689,21817,0.5492,Southern Association of Colleges and Schools Commission on Colleges,1
Antioch College,OH,121,49856,0.4118,Higher Learning Commission,2
University of Phoenix-Arizona,AZ,85991,19909,0.2084,Higher Learning Commission,3
University of North Texas at Dallas,TX,2878,20064,0.4164,Southern Association of Colleges and Schools Commission on Colleges,1
Kennesaw State University,GA,41254,24008,0.522,Southern Association of Colleges and Schools Commission on Colleges,1
Milligan University,TN,818,52511,0.6343,Southern Association of Colleges and Schools Commission on Colleges,2
Husson University,ME,2618,35852,0.5935,New England Commission on Higher Education,2
Westcliff University,CA,2363,44210,0.622,Western Association of Schools and Colleges Senior Colleges and University Commission,3
Purdue University Northwest,IN,5671,15571,0.4291,Higher Learning Commission,1
Women's Institute of Torah Seminary and College,MD,118,32300,1,Middle States Commission on Higher Education,2
Urshan University,MO,472,17175,0.4483,Higher Learning Commission,2
California Northstate University,CA,37,NA,1,Western Association of Schools and Colleges Senior Colleges and University Commission,3
Commonwealth University of Pennsylvania,PA,9210,25161,0.5448,Middle States Commission on Higher Education,1
Pennsylvania Western University,PA,7451,26916,0.5188,Middle States Commission on Higher Education,1
