NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,Operator
CEN21FA290,ACC,2021-06-24T17:14:00Z,Cleburne,Texas,United States,N9261L,Fatal,2,0,0,32.352429,-97.493799,AMERICAN AVIATION,AA-1A,NA
CEN21LA312,ACC,2021-06-24T13:17:00Z,St. Louis,Missouri,United States,N110ST,None,0,0,0,38.745331,-90.353213,PIPER,PA 46-350P,NA
ERA21LA267,ACC,2021-06-24T11:15:00Z,Easton,Maryland,United States,N2143G,Serious,0,1,0,38.813886,-76.065659,PIPER,PA-28-161,Trident Aircraft Inc
WPR21LA246,ACC,2021-06-24T08:30:00Z,Carson City,Nevada,United States,N8003K,None,0,0,0,39.192306,-119.73258,AIRBORNE AUSTRALIA,XT582,SPIEKERMEIER MARK A
ERA21LA265,ACC,2021-06-23T17:20:00Z,Jefferson,North Carolina,United States,N4134E,None,0,0,0,36.433074,-81.416844,AERONCA,11CC,David Pierce
CEN21LA288,ACC,2021-06-23T10:15:00Z,Butler,Ohio,United States,N72DX,None,0,0,0,40.59683,-82.43173,VINING,SD1 MINISPORT,NA
WPR21LA240,ACC,2021-06-22T23:55:00Z,Apple Valley,California,United States,N881HP,None,0,0,0,34.570937,-117.19035,CESSNA,T206,CALIFORNIA HIGHWAY PATROL
WPR21LA245,ACC,2021-06-22T14:30:00Z,Big Bear City,California,United States,N15381,Serious,0,2,0,34.263778,-116.85602,PIPER,PA-28-235,NA
ERA21LA264,ACC,2021-06-21T21:45:00Z,Tampa,Florida,United States,N512TP,None,0,0,0,28.014049,-82.345625,BELL,407,CITY OF TAMPA
CEN21LA289,ACC,2021-06-21T19:13:00Z,Watkins,Colorado,United States,N5596D,None,0,0,0,39.793786,-104.5511,BEECH,H35,NA
WPR21LA234,ACC,2021-06-21T19:08:00Z,Nampa,Idaho,United States,N8010B,None,0,0,0,43.596279,-116.53099,BOLSTRIDGE WALLACE R,SKY RAIDER 1,Mighuel Hurtado-Tamauo
CEN21LA286,ACC,2021-06-21T16:15:00Z,Leoti,Kansas,United States,N4328P,Minor,0,0,1,38.471722,-101.35047,AYRES CORPORATION,S2R-T34,AG SOLUTIONS LLC
WPR21LA237,ACC,2021-06-21T13:30:00Z,Warren,Idaho,United States,N2087F,Serious,0,2,0,45.268111,-115.68361,CESSNA,182P,H & M LTD
ERA21FA263,ACC,2021-06-21T09:30:00Z,Mercer,Tennessee,United States,N333LZ,Fatal,1,0,0,35.465254,-89.056968,CIRRUS,SR22,Skylane Partners LLC
CEN21LA281,ACC,2021-06-20T16:30:00Z,Wellington,Colorado,United States,N2851H,Minor,0,0,1,40.7039,-105.0086,SCHWEIZER,SGS 1-35,SMITH LEONARD I III
WPR21LA235,ACC,2021-06-20T15:16:00Z,Winthrop,Washington,United States,N974CQ,Minor,0,0,1,48.625833,-120.1545,HPH LTD,GLASFLUGEL,NA
WPR21LA239,ACC,2021-06-20T15:00:00Z,West Glacier,Montana,United States,N5765N,None,0,0,0,48.48,-113.96,MOONEY,M20J,INTEGRATIVE AEROSPACE CORP
